Rank;TEAM;Passing Yards;Points;SB Win 11y;Sacks 
1;Atlanta;4725;540;0;37
2;New Orleans;5074;469;1;27
3;New England;4308;441;1;24
4;Green Bay;4199;432;1;35
5;Dallas;3631;421;0;28
6;Arizona;4136;418;0;41
7;Oakland;4051;416;0;18
8;Indianapolis;4202;411;1;44
9;LA Chargers;4198;410;0;36
10;Buffalo;3036;399;0;46
11;Pittsburgh;4202;399;1;21
12;Washington;4758;396;0;23
13;Kansas City;3740;389;0;32
14;Tennessee;3541;381;0;28
15;Carolina;3685;369;0;36
16;Philadelphia;3585;367;0;33
17;Miami;3500;363;0;30
18;Seattle;4124;354;1;42
19;Tampa Bay;3926;354;0;35
20;Detroit;4111;346;0;37
21;Baltimore;4100;343;1;33
22;Denver;3685;333;1;40
23;Minnesota;3836;327;0;38
24;Cincinnati;3942;325;0;41
25;Jacksonville;3728;318;0;34
26;NY Giants;3879;310;1;22
27;San Francisco;2911;309;0;47
28;Chicago;3969;279;0;28
29;Houston;3176;279;0;32
30;NY Jets;3466;275;0;35
31;Cleveland;3264;264;0;66
32;LA Rams;2951;224;0;49
